OrgType,OrgCode,OrgName,VariableType,VariableA,VariableB,CountTherapyEndTreatment_LI_GuidedSelfHelpBook,CountTherapyEndTreatment_LI_NonGuidedSelfHelpBook,CountTherapyEndTreatment_LI_GuidedSelfHelpComputer,CountTherapyEndTreatment_LI_NonGuidedSelfHelpComputer,CountTherapyEndTreatment_LI_StructuredPhysicalActivity,CountTherapyEndTreatment_LI_PsychoEducationalPeerSupport,CountTherapyEndTreatment_LI_Signposting,CountTherapyEndTreatment_LI_Other,CountTherapyEndTreatment_HI_AppliedRelaxation,CountTherapyEndTreatment_HI_CouplesTherapyForDepression,CountTherapyEndTreatment_HI_CollaborativeCare,CountTherapyEndTreatment_HI_CounsellingForDepression,CountTherapyEndTreatment_HI_ShortTermPsychoDynamicPsychotherapy,CountTherapyEndTreatment_HI_EyeMovementDesensitisationReprocessing,CountTherapyEndTreatment_HI_Mindfulness,CountTherapyEndTreatment_HI_CognitiveBehaviourTherapy,CountTherapyEndTreatment_HI_InterpersonalPsychoTherapy,CountTherapyEndTreatment_HI_InternetEnabledTherapy,CountTherapyEndTreatment_HI_Other,CountTherapyEndTreatment_EmploymentSupport,CountTherapyEndTreatment_LastNotStated
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Counselling for depression,*,*,*,*,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,50,*,*,*,*,10
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06A,NHS WOLVERHAMPTON CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,70,*,*,5,*,395
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help book,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,*,*,*,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,30,*,40,*,*,10,*,30,*,*,*,10,*,*,*,35,*,*,5,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Counselling for depression,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),45,*,25,*,*,30,*,40,*,*,*,35,*,*,*,170,*,*,15,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,690,15,590,*,*,520,*,555,*,*,*,330,30,30,*,990,20,*,310,*,70
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06F,NHS BEDFORDSHIRE CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help book,1010,25,15,115,*,20,*,90,*,*,*,90,*,20,*,1210,10,*,25,*,565
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,205,25,5,30,*,10,*,20,*,*,*,15,*,*,*,295,*,*,*,*,130
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,10,*,*,15,*,*,*,*,*,*,*,*,*,*,*,30,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,*,*,*,10,*,*,*,*,*,*,*,*,*,5,*,*,*,*,10
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,390,20,60,80,*,*,*,180,*,*,*,45,*,25,*,335,15,*,1075,*,165
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,High intensity,Counselling for depression,*,*,*,*,*,*,*,*,*,*,*,165,*,5,*,35,*,*,*,*,65
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,15,*,10,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),185,10,5,35,*,25,*,15,*,*,*,100,*,30,*,1865,20,*,20,*,155
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,50,*,*,30,*,5
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,190,*,*,*,*,*,*,20,*,*,*,*,10,*,*,315,*,*,*,*,1075
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help book,25,*,*,*,*,*,*,*,*,*,*,*,*,*,*,45,*,*,*,*,50
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,160,155,*,90,*,20,*,5,*,*,*,*,*,*,*,645,*,55,50,*,700
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Counselling for depression,*,*,*,*,*,*,*,*,*,*,*,390,*,*,*,*,*,*,*,*,220
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),25,15,*,5,*,10,*,*,*,*,*,*,*,*,*,465,*,*,10,*,240
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,*,*,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,*,10
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,130,*
CCG,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,45,*,155,10,*,1790
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help book,1560,*,*,*,*,*,*,615,*,15,*,315,*,35,*,935,35,*,10,55,20
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,65,*,*,*,*,*,*,25,*,*,*,5,*,*,*,30,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,High intensity,Counselling for depression,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),15,*,*,*,*,*,*,10,*,*,*,10,*,*,*,35,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06L,NHS IPSWICH AND EAST SUFFOLK CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help book,55,*,*,5,*,*,*,*,*,*,*,*,*,*,*,30,*,5,*,*,60
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,215,80,*,110,*,5,*,10,*,*,*,*,*,*,*,345,*,55,5,*,585
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,15,*,*,*,*,*,*,*,*,*,*,*,15,*,*,*,*,30
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,*,*,*,*,*,*,*,40,*,*,*,*,*,*,*,15,*,*,*,*,40
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,High intensity,Counselling for depression,*,*,*,*,*,*,*,*,*,*,*,460,*,*,*,*,*,*,*,*,310
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),20,5,*,10,*,10,*,*,*,*,*,*,*,*,*,670,*,10,*,*,430
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,70,*
CCG,06N,NHS HERTS VALLEYS CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,55,*,170,*,*,2160
CCG,06P,NHS LUTON CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help book,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06P,NHS LUTON CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06P,NHS LUTON CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,*,*,40,*,*,*,*,10,*,*,*,*,*,*,*,20,*,*,*,*,10
CCG,06P,NHS LUTON CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06P,NHS LUTON CCG,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06P,NHS LUTON CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06P,NHS LUTON CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06P,NHS LUTON CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,*,*,25,*,*,*,*,360,*,*,*,10,*,*,*,120,*,35,*,*,*
CCG,06P,NHS LUTON CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,06P,NHS LUTON CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
